incluido;id_contrato;referencia;dependencia;proveedor;categorias;valor_contrato;tipo_inferido;estado;fecha_aprobacion;valor_resultante;dias_extendidos;proposito_texto
SI;CO1.PCCNTR.9282433;4132.010.26.1.388-2026;Cali · Planeación Municipal;AGPHSAS;Almacenamiento y bodegaje;371700000;Adición en valor;Publicado;2026-03-05;265500000;0;De acuerdo a los motivos expuestos en los documentos adjuntos JUSTIFICACION PARA MODIFICACION DE CONTRATO y MODIFICACION No 1 se hace necesario modificar el presente contrato particularmente modificando la clausula séptima y adicionando la clausula vigésima séptima al complemento del contrato
SI;CO1.PCCNTR.9282433;4132.010.26.1.388-2026;Cali · Planeación Municipal;AGPHSAS;Almacenamiento y bodegaje;371700000;Adición en valor+Prórroga de plazo;Publicado;2026-06-23;371700000;62;De acuerdo a las consideraciones expuestas en los documentos JUSTIFICACIÓN PARA MODIFICACIÓN DE CONTRATO y MODIFICACION DE CONTRATO se hace necesario prorrogar el contrato de arrendamiento de inmueble hasta el 31 de agosto de 2026 y adicionar la suma de $106.200.000
SI;CO1.PCCNTR.9146867;1.09.19.13-5851;Valle · Secretaría General;Fundación Recurso Humano Positivo;Alimentación y catering;370000000;Sin descripción;En Edición;;370000000;0;No definido
SI;CO1.PCCNTR.9146867;1.09.19.13-5851;Valle · Secretaría General;Fundación Recurso Humano Positivo;Alimentación y catering;370000000;Adición en valor;Publicado;2026-05-22;370000000;0;Se modifica para adicionar al valor la suma de CIENTO VEINTE MILLONES DE PESOS ($120.000.000) de conformidad con solicitud de necesidad y concepto técnico adjunto. Se advierte al contratista que debe ampliar la cuantía de los amparos de las pólizas vigentes del contrato.
SI;CO1.PCCNTR.9232131;1.310.19.18-5919 de 2026;Valle · Desarrollo Económico;FONDO MIXTO CARTAGO;Logística y eventos;300000000;Sin descripción;Cancelado;;300000000;0;No definido
SI;CO1.PCCNTR.9232131;1.310.19.18-5919 de 2026;Valle · Desarrollo Económico;FONDO MIXTO CARTAGO;Logística y eventos;300000000;Otra;Publicado;2026-06-03;300000000;0;Por error humano se había cargado una versión preliminar del documento.
SI;CO1.PCCNTR.9232131;1.310.19.18-5919 de 2026;Valle · Desarrollo Económico;FONDO MIXTO CARTAGO;Logística y eventos;300000000;Adición en valor+Prórroga de plazo;Publicado;2026-06-30;300000000;46;Que las partes han decidido suscribir el presente OTROSÍ No. 1 al Contrato Interadministrativo No. 1.310.19.18-5919 de 2026 considerando la necesidad de garantizar un plazo adicional y suficiente para desarrollar la totalidad de las acciones contratadas a satisfacción de la entidad. Por tanto las partes acuerdan: I) MODIFICAR la cláusula Sexta (Plazo) con el propósito de prorrogar el plazo de ejecución del Contrato Interadministrativo No. 1.310.19.18-5919 de 2026 hasta el día QUINCE (15) DE AGOSTO DE DOS MIL VEINTISÉIS (2026).
SI;CO1.PCCNTR.9306661;4162.010.26.1.0799-2026;Cali · Deporte y Recreación;LIGA VALLECAUCANA DE ATLETISMO;Logística y eventos;279999490;Aclaración o corrección;Publicado;2026-06-13;279999490;10;Que se hace necesario realizar la presente aclaración respecto al nombre del contratista consignada en el numeral catorce (14) de la cláusula cuarta denominada OBLIGACIONES ESPECÍFICAS DE LA LIGA del Contrato de interés público No. 4162.010.26.1.0799-2026 con el fin de evitar interpretaciones erróneas o inconsistencias administrativas precisando que dicha obligación se encuentra a cargo de la LIGA VALLECAUCANA DE ATLETISMO manteniéndose incólumes las demás disposiciones contenidas en el respectivo documento..
SI;CO1.PCCNTR.9321421;4137.010.26.1.252-2026;Cali · Desarrollo e Innovación Institucional;TURISMO DEL MORROSQUILLO LTDA;Transporte y viajes;262635750;Sin descripción;Cancelado;;262635750;0;No definido
SI;CO1.PCCNTR.9321421;4137.010.26.1.252-2026;Cali · Desarrollo e Innovación Institucional;TURISMO DEL MORROSQUILLO LTDA;Transporte y viajes;262635750;Adición en valor;Publicado;2026-04-23;262635750;0;Adicionar al valor total de la Aceptación de Oferta No. 4137.010.26.1.252-2026 la suma de ochenta y siete millones quinientos cuarenta y cinco mil doscientos cincuenta pesos M/CTE ($87.545.250).
SI;CO1.PCCNTR.9344352;4132.010.26.1.444-2026;Cali · Planeación Municipal;K.L.T.;Transporte y viajes;224503000;Adición en valor;Publicado;2026-06-25;224503000;0;De acuerdo a los motivos expuestos en los documentos JUSTIFICACIÓN PARA MODIFICACIÓN DE CONTRATO y JUSTIFICACION DE CONTRATO se adiciona la suma de SETENTA Y CUATRO MILLONES SETECIENTOS NOVENTA Y TRES MIL PESOS M/CTE ($74.793.000)
SI;CO1.PCCNTR.9239235;1.09.19.13-5853;Valle · Secretaría General;Quack de Colombia SAS;Alimentación y catering|Logística y eventos;220000000;Adición en valor+Prórroga de plazo;Publicado;2026-05-20;220000000;92;SE MODIFICA EL CONTRATO PARA ADICIONARL AL VALOR LA SUMA DE $70.000.000 Y PRORROGAR EL PLAZO DE EJECUCIÒN HASTA EL 31 DE AGOSTO DE 2026. SE LE ADVIERTE AL CONTRATISTA QUE DEBE AMPLIAR LA VIGENCIA Y CUANTIA DE LAS POLIZAS
NO;CO1.PCCNTR.9234024;1.310.19.18-5922-2026;Valle · Desarrollo Económico;FONDO MIXTO CARTAGO;Logística y eventos;200000000;Prórroga de plazo;Publicado;2026-06-27;200000000;46;Las partes acuerdan MODIFICAR la cláusula SEXTA Plazo con el propósito de prorrogar el plazo de ejecución del Contrato Interadministrativo No. 1.310.19.18-5922-2026 hasta el día QUINCE (15) DE AGOSTO DE DOS MIL VEINTISEIS (2026).
SI;CO1.PCCNTR.9508005;4173.010.26.1.0478-2026;Cali · Desarrollo Territorial;INNPACTA SOLUCIONES SAS;Logística y eventos;170000000;Aclaración o corrección;Publicado;2026-06-12;170000000;0;modificación contractual por aclaración dejando expresa constancia de que el valor total del contrato corresponde a la suma de CIENTO SETENTA MILLONES DE PESOS M/CTE ($170.000.000) incluido IVA por valor de VEINTISIETE MILLONES CIENTO CUARENTA Y DOS MIL OCHOCIENTOS CINCUENTA Y SIETE PESOS M/CTE ($27.142.857)
NO;CO1.PCCNTR.9236145;1.310.19.18-5920-2026;Valle · Desarrollo Económico;INVEST PACIFIC;Logística y eventos;150000000;Aclaración o corrección;Rechazado por el Proveedor;2026-02-11;150000000;0;SE MODIFICA CONTRATO DE PRESTACION DE SERVICIOS LAS PARTES ACUERDAN SUBSANAR INCONSISTENCIAS EVIDENCIADAS EN EL EXPEDIENTE DEL PROCESO Y SE SUSCRIBE EL PRESENTE OTRO SI ACLARATORIO Y MODIFICATORIO
NO;CO1.PCCNTR.9236145;1.310.19.18-5920-2026;Valle · Desarrollo Económico;INVEST PACIFIC;Logística y eventos;150000000;Aclaración o corrección;Publicado;2026-02-11;150000000;0;SE MODIFICA CONTRATO DE PRESTACION DE SERVCIOS No 1.310.19.18-5920-2026 LAS PARTES ACUERDAN SUBSANAR INCONSISTENCIAS EVIDENCIADAS EN EL EXPEDIENTE DEL PROCESO POR LO ANTERIOR SE SUSCRIBE EL PRESENTE OTROSI No 001 ACLARATORIO Y MODIFICATORIO.
SI;CO1.PCCNTR.9682964;4145.010.26.1.1915-2026;Cali · Salud Distrital;Sol Naciente;Logística y eventos;142886227;Otra;Publicado;2026-08-21;142886227;0;La presente modificación tiene por objeto corregir la fecha de terminación registrada en la aceptación de la oferta para armonizarla con el plazo de ejecución pactado de diecisiete (17) días. Dado que el contrato se perfeccionó el 5 de agosto fijar como límite el 10 de agosto restringe indebidamente el término pactado a solo cinco (5) días impidiendo el cabal cumplimiento de las obligaciones. En aplicación de los principios de eficacia economía y prevalencia de lo sustancial sobre lo formal se actualiza la fecha final en la plataforma para garantizar los 17 días reales de ejecución contados a partir de su perfeccionamiento.
SI;CO1.PCCNTR.9321670;1.09.19.15-5992;Valle · Secretaría General;AGENCIA DE VIAJES Y TURISMO AVIATUR S.A.S.;Transporte y viajes;90000000;Adición en valor;Publicado;2026-07-28;90000000;0;SE MODIFICA EL CONTRATO PARA ADICIONAR AL VALOR LA SUMA DE TREINTA MILLONES DE PESOS M/CTE ($30.000.000) SE ADVIERTE AL CONTRATISTA QUE DEBE AMPLIAR LA CUANTIA DE LAS POLIZAS
