incluido;revision;motivo_revision;grupo;id_contrato;referencia;categorias;territorio;dependencia;entidad;proveedor;tipo_doc_prov;valor_inicial;adicion_cuantificada;pct_adicion_sobre_inicial;fuente_adicion;valor_contrato;valor_pagado;fecha_firma;fecha_inicio;fecha_fin;modalidad;tipo_contrato;unspsc;n_modif_registradas;n_modif_publicadas;dias_extendidos_total;objeto;url_proceso
SI;Evidencia alta, no requirió revisión;;A;CO1.PCCNTR.9428024;100.8.4.420-2026;Cafetería y suministros;Cali;Concejo Distrital;CONCEJO DISTRITAL DE SANTIAGO DE CALI;CYC SUPERSERVICIOS INTEGRALES SAS;NIT;;;;;403970460;0;2026-04-01;2026-04-08;2026-12-31;Selección Abreviada de Menor Cuantía;Prestación de servicios;UNSPECIFIED;0;0;0;"PRESTACIÓN DEL SERVICIO DE LIMPIEZA INTEGRAL Y CAFETERÍA INCLUYENDO ELEMENTOS E INSUMOS; PARA LAS DIFERENTES LOCACIONES E INSTALACIONES DE LA CORPORACIÓN CONCEJO DISTRITAL DE SANTIAGO DE CALI.";https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10136849&isFromPublicArea=True&isModal=true&asPopupView=true
SI;Evidencia alta, no requirió revisión;;A;CO1.PCCNTR.9435716;1.210.19.13-6047;Logística y eventos;Valle;Educación;GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE EDUCACION;Quack de Colombia SAS;NIT;;;;;400000000;0;2026-04-08;2026-04-20;2026-12-30;Selección Abreviada de Menor Cuantía;Prestación de servicios;UNSPECIFIED;3;2;0;Prestar los servicios de apoyo logístico para llevar a cabo la ejecución de las diferentes actividades que requiera realizar la Secretaría de Educación departamental;https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10138147&isFromPublicArea=True&isModal=true&asPopupView=true
SI;Evidencia alta, no requirió revisión;;A;CO1.PCCNTR.9335336;4172.010.26.1.120-2026;Logística y eventos;Cali;Turismo;SANTIAGO DE CALI DISTRITO ESPECIAL- SECRETARIA DE TURISMO;CACUMEN POST S.A.S.;NIT;;;;;374698125;0;2026-02-13;2026-02-20;2026-03-02;Selección Abreviada de Menor Cuantía;Prestación de servicios;UNSPECIFIED;0;0;0;"Prestacion de servicios logisticos para la organización y ejecucion de una mision comercial institucional en la Vitrina Turistica ANATO 2026; con el fin de promover la oferta turística sostenible de Santiago de Cali como destino nacional e internacional";https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9853222&isFromPublicArea=True&isModal=true&asPopupView=true
SI;Evidencia alta, no requirió revisión;;A;CO1.PCCNTR.9282433;4132.010.26.1.388-2026;Almacenamiento y bodegaje;Cali;Planeación Municipal;PLANEACIÓN MUNICIPAL CALI**;AGPHSAS;NIT;265500000;106200000;40.0;Diferencia entre valores registrados en el dataset de modificaciones;371700000;0;2026-01-30;2026-02-09;2026-08-31;Contratación directa;Arrendamiento de inmuebles;V1.80131500;2;2;62;"Prestar el servicio de almacenamiento y custodia del mobiliario urbano del Distrito de Santiago de Cali; de conformidad con el proyecto de inversión denominado: Consolidación de los instrumentos de sostenibilidad del espacio público en Santiago de Cali - FICHA BP-26005243.";https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9913992&isFromPublicArea=True&isModal=true&asPopupView=true
SI;Confirmado en revisión manual;"Jornadas de oferta institucional en 42 entes territoriales; UNSPSC de catering; tuvo adición";A;CO1.PCCNTR.9146867;1.09.19.13-5851;Alimentación y catering;Valle;Secretaría General;SECRETARIA GENERAL- GOBERNACION DEL VALLE;Fundación Recurso Humano Positivo;NIT;250000000;120000000;48.0;Monto declarado en el texto de la modificación en SECOP II;370000000;0;2026-01-26;2026-01-27;2026-06-30;Contratación directa;Prestación de servicios;V1.90101800;2;1;0;"PRESTAR EL SERVICIO DE APOYO; ACOMPAÑAMIENTO OPERATIVO Y ASISTENCIAL PARA LA INTEGRACIÓN; DIVULGACIÓN Y ARTICULACIÓN DE LA OFERTA INSTITUCIONAL DE LA GOBERNACIÓN DEL VALLE DEL CAUCA EN LOS 42 ENTES TERRITORIALES DEL DEPARTAMENTO; MEDIANTE LA IMPLEMENTACIÓN DE ACCIONES DE RELACIONAMIENTO Y COMUNICACIÓN DE DOBLE VÍA CON LA CIUDADANÍA; EN EL MARCO DEL PROYECTO DENOMINADO FORTALECIMIENTO DE UN SISTEMA INTEGRADO DE GESTIÓN DEL VALLE DEL CAUCA";https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9775337&isFromPublicArea=True&isModal=true&asPopupView=true
SI;Evidencia alta, no requirió revisión;;A;CO1.PCCNTR.9493589;4147.010.26.1.363-2026;Logística y eventos;Cali;Vivienda Social y Hábitat;SANTIAGO DE CALI DISTRITO ESPECIAL - SECRETARIA DE VIVIENDA SOCIAL Y HABITAT;COMMERCE TEAM S.A.S BIC;Otro;;;;;327568860;0;2026-05-08;2026-05-12;2026-12-31;Selección Abreviada de Menor Cuantía;Prestación de servicios;UNSPECIFIED;0;0;0;"PRESTACIÓN DE SERVICIOS DE OPERADOR LOGÍSTICO QUE BRINDE EL APOYO INTEGRAL EN LA PLANEACIÓN; ORGANIZACIÓN Y EJECUCIÓN DE EVENTOS; CAMPAÑAS Y ACTIVIDADES DE COMUNICACIÓN; PROMOCIÓN Y DIFUSIÓN DE LOS PROGRAMAS; PROYECTOS Y SERVICIOS FINANCIADOS CON RECURSOS DEL CRÉDITO PÚBLICO INVERTIR PARA CRECER; A DESARROLLARSE DURANTE LA VIGENCIA 2026 POR LA SECRETARÍA DE VIVIENDA SOCIAL Y HÁBITAT DEL DISTRITO ESPECIAL DE SANTIAGO DE CALI.";https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10211572&isFromPublicArea=True&isModal=true&asPopupView=true
SI;Evidencia alta, no requirió revisión;;A;CO1.PCCNTR.9547963;4148.010.26.1.0610-2026;Logística y eventos;Cali;Cultura;SANTIAGO DE CALI DISTRITO ESPECIAL - SECRETARIA DE CULTURA;Quack de Colombia SAS;NIT;;;;;321095660;0;2026-06-04;2026-06-22;2026-11-30;Selección Abreviada de Menor Cuantía;Prestación de servicios;UNSPECIFIED;0;0;0;"PRESTAR SERVICIOS LOGÍSTICOS Y OPERATIVOS PARA LA REALIZACIÓN DE ACTIVIDADES; REUNIONES Y ENCUENTROS CONEXOS CON LAS LABORES MISIONALES DEL ORGANISMO; INCLUYENDO LAS ACTIVIDADES REALIZADAS EN EL MARCO DE LOS PROCESOS DE PARTICIPACIÓN; CONSEJOS CULTURALES; ENTRE OTROS; EN ATENCIÓN AL PROYECTO DE INVERSIÓN DENOMINADO FORTALECIMIENTO DE LOS PROCESOS INSTITUCIONALES DE LA SECRETARÍA DE CULTURA DEL DISTRITO DE SANTIAGO DE CALI BP 26005365.";https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10286407&isFromPublicArea=True&isModal=true&asPopupView=true
SI;Evidencia alta, no requirió revisión;;A;CO1.PCCNTR.9667634;4148.010.26.1.0813-2026;Logística y eventos;Cali;Cultura;SANTIAGO DE CALI DISTRITO ESPECIAL - SECRETARIA DE CULTURA;Quack de Colombia SAS;NIT;;;;;300018000;0;2026-07-16;2026-07-23;2026-11-30;Selección Abreviada de Menor Cuantía;Prestación de servicios;UNSPECIFIED;0;0;0;"EL DISTRITO DE SANTIAGO DE CALI - SECRETARÍA DE CULTURA; REQUIERE LA PRESTACIÓN DE SERVICIOS LOGÍSTICOS PARA REALIZAR ACCIONES DE DIVULGACIÓN DE LOS BIENES DE INTERÉS CULTURAL DE SANTIAGO DE CALI DE CONFORMIDAD CON EL PROYECTO DE INVERSIÓN DENOMINADO PROTECCIÓN DE LOS BIENES DE INTERÉS CULTURAL DE SANTIAGO DE CALI BP-26005355.";https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10306022&isFromPublicArea=True&isModal=true&asPopupView=true
SI;Confirmado en revisión manual;'Planeación, alistamiento y ejecución de cinco (5) FERIAS';A;CO1.PCCNTR.9232131;1.310.19.18-5919 de 2026;Logística y eventos;Valle;Desarrollo Económico;SECRETARIA DE DESARROLLO ECONOMICO Y COMPETITIVIDAD;FONDO MIXTO CARTAGO;NIT;;;;SIN ADICIÓN EN VALOR — verificado en el documento del expediente;300000000;0;2026-01-28;2026-01-29;2026-08-15;Contratación directa;Otro;V1.80141900;3;2;46;"PRESTAR SERVICIOS DE APOYO A LA GESTIÓN OPERATIVA REQUERIDOS PARA LA PLANEACIÓN; ALISTAMIENTO Y EJECUCIÓN DE CINCO (5) FERIAS QUE PROPICIEN ESPACIOS REALES DE MERCADO; VISIBILIZACIÓN DE LA OFERTA PRODUCTIVA; RELACIONAMIENTO EMPRESARIAL Y DINAMIZACIÓN DE LAS ECONOMÍAS LOCALES EN EL VALLE DEL CAUCA.";https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9863695&isFromPublicArea=True&isModal=true&asPopupView=true
SI;Confirmado en revisión manual;'Servicios técnicos, operativos y LOGÍSTICOS' para respuesta ante emergencias;A;CO1.PCCNTR.9281970;4163.001.26.1.196-2026;Logística y eventos;Cali;Gestión del Riesgo;SANTIAGO DE CALI DISTRITO ESPECIAL - SECRETARÍA DE GESTIÓN DEL RIESGO DE EMERGENCIAS Y DESASTRE;DEFENSA CIVIL COLOMBIANA;NIT;;;;;300000000;0;2026-01-30;2026-02-12;2026-11-30;Contratación Directa (con ofertas);Otro;V1.81141601;0;0;0;"PRESTAR LOS SERVICIOS TÉCNICOS; OPERATIVOS Y LOGÍSTICOS NECESARIOS PARA EL FORTALECIMIENTO DEL SISTEMA DISTRITAL DE GESTIÓN DEL RIESGO; CON EL FIN DE OPTIMIZAR LA RESPUESTA ANTE EMERGENCIAS Y DESASTRES QUE SE PRESENTEN EN EL DISTRITO ESPECIAL DE SANTIAGO DE CALI; EN EL MARCO DE LA LEY 1523 DE 2012 Y EN CONCORDANCIA CON EL PROYECTO BP-26005409 DE LA SECRETARÍA DE GESTIÓN DEL RIESGO DE EMERGENCIAS Y DESASTRES DEL DISTRITO ESPECIAL DE CALI.";https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9894501&isFromPublicArea=True&isModal=true&asPopupView=true
